sa1_main16,bp_Easy,bp_NA,bp_Medium,bp_Hard,n,cf_Hard,cf_Medium,cf_Easy,cf_NA,rg_Easy,rg_Hard,rg_Medium,rg_NA
30202102721,0,5,0,0,5,0,0,1,4,1,0,0,4
30202102722,0,1,0,0,1,0,0,1,0,1,0,0,0
30202102723,0,1,0,0,1,0,0,1,0,1,0,0,0
30202102724,0,1,0,1,2,0,1,1,0,1,1,0,0
30202102725,1,0,0,0,1,0,0,1,0,1,0,0,0
30202102726,4,0,1,0,5,0,0,5,0,5,0,0,0
30202102727,4,0,1,0,5,0,0,5,0,5,0,0,0
30202102728,1,1,0,0,2,1,0,0,1,0,1,0,1
30202102730,0,2,0,0,2,0,0,2,0,2,0,0,0
30202102731,1,0,0,0,1,0,1,0,0,1,0,0,0
30202102732,1,0,0,0,1,0,0,1,0,1,0,0,0
30202102733,0,5,0,0,5,0,0,1,4,1,0,0,4
30202102734,3,0,0,0,3,0,0,3,0,3,0,0,0
30202102736,6,3,0,0,9,0,0,9,0,9,0,0,0
30202102738,3,0,0,0,3,0,0,3,0,3,0,0,0
30202102739,3,0,0,0,3,0,0,3,0,3,0,0,0
30202102740,2,0,0,0,2,0,0,2,0,2,0,0,0
30202102802,0,0,9,0,9,0,0,9,0,0,0,9,0
30202102803,0,4,1,0,5,1,0,4,0,5,0,0,0
30202102804,0,5,0,0,5,4,0,1,0,1,0,4,0
30202102806,3,2,1,0,6,1,0,5,0,6,0,0,0
30202102807,0,4,0,0,4,0,0,4,0,4,0,0,0
30202102808,3,8,0,0,11,0,0,11,0,11,0,0,0
30202102809,1,2,0,0,3,0,0,2,1,2,0,0,1
30202102810,2,4,0,0,6,0,0,4,2,4,0,0,2
30202102812,0,0,2,0,2,0,0,2,0,2,0,0,0
30202102814,6,0,0,0,6,0,6,0,0,2,0,4,0
30202102815,1,1,2,0,4,0,3,1,0,4,0,0,0
30202102816,14,0,5,0,19,0,12,7,0,19,0,0,0
30202102817,4,4,3,0,11,3,0,8,0,7,0,4,0
30202102818,0,4,1,0,5,1,0,4,0,4,1,0,0
30202102819,0,0,2,0,2,0,0,2,0,2,0,0,0
30202102820,8,2,0,0,10,0,0,8,2,0,0,8,2
30202102821,3,0,0,0,3,0,0,3,0,3,0,0,0
30202102822,2,8,0,0,10,0,0,6,4,6,0,0,4
30202102824,5,0,0,0,5,0,0,5,0,5,0,0,0
30202102901,1,0,6,0,7,1,0,6,0,0,1,6,0
30202102902,0,0,5,2,7,0,0,7,0,2,0,5,0
30202102904,0,0,2,0,2,2,0,0,0,0,2,0,0
30202102905,0,6,0,0,6,0,0,6,0,6,0,0,0
30202102906,0,3,0,0,3,0,0,0,3,0,0,0,3
30202102908,0,4,0,0,4,0,0,4,0,4,0,0,0
30202102909,3,2,0,0,5,0,3,0,2,0,0,3,2
30202102910,6,0,0,0,6,0,0,6,0,0,0,6,0
30202102911,6,0,0,0,6,0,0,6,0,0,6,0,0
30202102912,0,0,1,0,1,1,0,0,0,0,0,1,0
30202102913,0,0,5,0,5,2,0,3,0,3,0,2,0
30202102914,0,0,3,0,3,0,0,3,0,3,0,0,0
30202102915,2,0,3,0,5,0,0,5,0,0,0,5,0
30202102916,0,0,1,0,1,0,0,1,0,0,1,0,0
30202102917,0,2,0,0,2,0,0,1,1,1,0,0,1
30202103001,0,0,3,0,3,3,0,0,0,3,0,0,0
30202103002,1,1,0,1,3,1,0,2,0,2,0,1,0
30202103003,0,0,1,0,1,1,0,0,0,0,0,1,0
30202103004,4,0,3,0,7,0,0,7,0,0,4,3,0
30202103005,5,0,5,0,10,0,4,6,0,5,0,5,0
30202103006,1,4,1,0,6,1,1,0,4,2,0,0,4
30202103007,1,2,1,0,4,1,0,1,2,2,0,0,2
30202103008,0,0,3,0,3,3,0,0,0,0,3,0,0
30202103009,0,3,2,0,5,0,1,1,3,1,0,1,3
30202103010,0,4,0,0,4,0,0,0,4,0,0,0,4
30202103011,7,2,0,0,9,0,0,7,2,7,0,0,2
30202103101,0,2,0,0,2,0,0,2,0,2,0,0,0
30202103102,1,0,0,0,1,0,0,1,0,1,0,0,0
30202103103,2,0,0,0,2,0,0,2,0,2,0,0,0
30202103104,0,1,0,0,1,0,0,0,1,0,0,0,1
30202103105,4,1,0,0,5,0,2,2,1,0,2,2,1
30202103106,4,2,0,0,6,0,2,4,0,4,2,0,0
30202103107,1,0,0,0,1,0,0,1,0,0,0,1,0
30202103108,5,0,0,0,5,0,0,5,0,5,0,0,0
30202103109,1,0,0,0,1,1,0,0,0,0,0,1,0
30202103110,2,0,2,0,4,1,0,3,0,3,1,0,0
30202103112,1,0,0,0,1,0,1,0,0,0,0,1,0
30202103113,2,1,0,0,3,0,0,3,0,3,0,0,0
30202103114,0,0,1,0,1,0,0,1,0,0,0,1,0
30202103115,0,2,0,2,4,1,0,3,0,4,0,0,0
30202103116,1,4,3,0,8,1,2,3,2,4,2,0,2
30202103117,6,3,0,0,9,0,0,7,2,7,0,0,2
30202103118,2,2,0,0,4,1,0,3,0,1,1,2,0
30202103119,0,5,0,0,5,0,0,3,2,3,0,0,2
30202103122,3,0,0,0,3,0,2,1,0,1,0,2,0
30202103123,1,0,0,0,1,0,0,1,0,0,1,0,0
30202103124,0,1,0,0,1,0,0,0,1,0,0,0,1
30202103125,2,0,0,0,2,0,0,2,0,2,0,0,0
30202103127,0,3,0,0,3,0,0,3,0,3,0,0,0
30202103130,2,4,0,0,6,0,0,6,0,4,0,2,0
30202103131,2,6,0,0,8,0,0,8,0,8,0,0,0
30202103132,4,0,2,0,6,6,0,0,0,2,4,0,0
30202103202,3,4,0,0,7,0,0,4,3,1,3,0,3
30202103204,1,0,0,0,1,1,0,0,0,1,0,0,0
30202103205,0,2,2,2,6,4,0,0,2,0,2,2,2
30202103206,4,2,0,0,6,0,4,0,2,4,0,0,2
30202103208,0,0,2,0,2,1,1,0,0,1,1,0,0
30202103210,4,2,4,0,10,0,2,8,0,4,0,6,0
30202103211,0,0,2,0,2,2,0,0,0,0,2,0,0
30202103212,7,4,0,0,11,0,7,0,4,7,0,0,4
30202103213,0,2,2,0,4,0,2,2,0,4,0,0,0
30202103214,0,4,4,0,8,3,1,4,0,4,1,3,0
30202103215,1,1,1,0,3,1,0,1,1,0,1,1,1
30202103216,0,0,3,0,3,3,0,0,0,0,3,0,0
30202103217,1,0,1,0,2,0,1,1,0,1,0,1,0
30202103218,0,3,5,0,8,6,0,0,2,2,0,4,2
30202103219,0,0,3,0,3,3,0,0,0,0,0,3,0
30202103220,0,0,3,0,3,0,0,3,0,3,0,0,0
30202103221,6,0,0,7,13,7,0,6,0,6,0,7,0
30202103222,0,1,1,0,2,1,0,1,0,2,0,0,0
30202103223,3,0,0,0,3,0,0,3,0,3,0,0,0
30202103224,10,0,0,0,10,6,0,4,0,10,0,0,0
30202103225,0,3,1,0,4,0,1,0,3,1,0,0,3
30202103301,2,0,2,0,4,0,4,0,0,0,4,0,0
30202103302,1,1,0,0,2,0,0,2,0,2,0,0,0
30202103304,1,2,0,0,3,0,0,3,0,2,1,0,0
30202103305,3,0,0,0,3,1,0,2,0,0,1,2,0
30202103306,3,3,0,0,6,3,1,2,0,2,3,1,0
30202103308,0,1,0,0,1,0,0,1,0,1,0,0,0
30202103309,0,0,2,0,2,2,0,0,0,0,0,2,0
30202103310,0,7,0,0,7,0,0,2,5,2,0,0,5
30202103311,2,1,0,0,3,0,2,0,1,0,2,0,1
30202103312,0,1,2,0,3,1,0,2,0,2,0,1,0
30202103314,0,0,0,2,2,2,0,0,0,0,2,0,0
30202103315,2,2,0,1,5,0,1,4,0,5,0,0,0
30202103401,5,0,0,0,5,0,0,5,0,5,0,0,0
30202103402,0,3,4,0,7,3,0,4,0,3,4,0,0
30202103403,1,0,0,1,2,0,1,1,0,1,0,1,0
30202103405,3,0,3,0,6,3,3,0,0,3,3,0,0
30202103406,2,0,0,0,2,0,2,0,0,0,1,1,0
30202103407,2,0,0,0,2,0,0,2,0,0,0,2,0
30202103408,0,1,0,0,1,0,0,1,0,1,0,0,0
30202103409,4,0,1,0,5,1,4,0,0,0,2,3,0
30202103410,3,0,3,0,6,5,0,1,0,0,3,3,0
30202103411,5,0,3,0,8,0,5,3,0,4,0,4,0
30202103412,2,3,2,0,7,4,0,3,0,5,0,2,0
30202103413,2,0,2,0,4,2,2,0,0,0,0,4,0
30202103414,2,3,0,0,5,3,0,2,0,0,5,0,0
30202103415,3,3,2,0,8,4,0,4,0,5,3,0,0
30202103416,2,0,2,0,4,0,2,2,0,0,4,0,0
30202103417,0,0,0,2,2,2,0,0,0,2,0,0,0
30202103418,0,4,0,0,4,0,0,4,0,4,0,0,0
30202103419,2,0,2,0,4,2,0,2,0,0,0,4,0
30202103420,1,2,0,0,3,0,0,3,0,3,0,0,0
30202103421,1,0,1,0,2,0,1,1,0,0,2,0,0
30202103422,1,1,2,0,4,3,0,1,0,3,0,1,0
30202103423,1,3,0,1,5,1,0,3,1,3,0,1,1
30203103501,4,0,0,2,6,2,0,4,0,4,2,0,0
30203103502,0,2,0,0,2,0,0,1,1,1,0,0,1
30203103504,1,0,0,0,1,1,0,0,0,0,0,1,0
30203103505,0,1,1,0,2,0,1,1,0,2,0,0,0
30203103506,4,1,1,0,6,0,1,5,0,3,0,3,0
30203103507,0,1,0,0,1,0,0,1,0,1,0,0,0
30203103508,0,0,1,0,1,0,1,0,0,0,0,1,0
30203103509,0,0,1,0,1,0,1,0,0,1,0,0,0
30203103510,0,0,1,0,1,1,0,0,0,1,0,0,0
30203103511,1,1,3,0,5,1,2,2,0,4,0,1,0
30203103512,0,0,1,0,1,0,1,0,0,1,0,0,0
30203103513,4,0,0,0,4,0,4,0,0,4,0,0,0
30203103514,0,1,0,0,1,0,0,1,0,1,0,0,0
30203103515,0,1,0,0,1,0,0,1,0,1,0,0,0
30203103517,1,0,0,0,1,0,1,0,0,1,0,0,0
30203103518,3,0,0,0,3,0,1,2,0,3,0,0,0
30203103519,5,0,0,0,5,4,0,1,0,1,4,0,0
30203103520,5,1,0,0,6,3,2,1,0,6,0,0,0
30203103521,0,2,0,0,2,0,0,0,2,0,0,0,2
30203103602,0,0,1,0,1,0,0,1,0,1,0,0,0
30203103603,0,3,0,2,5,0,0,2,3,2,0,0,3
30203103701,6,8,0,0,14,0,5,5,4,7,2,1,4
30203103703,0,1,0,0,1,0,0,0,1,0,0,0,1
30203103704,7,11,2,2,22,4,0,11,7,13,0,2,7
30203103801,0,3,0,1,4,0,0,2,2,2,0,0,2
30203103802,3,0,1,0,4,1,0,3,0,3,1,0,0
30203103803,1,1,0,0,2,0,0,1,1,1,0,0,1
30203103804,0,1,1,0,2,0,0,1,1,1,0,0,1
30203103805,0,1,3,0,4,2,0,1,1,3,0,0,1
30203103806,0,11,0,0,11,0,0,0,11,0,0,0,11
30203103807,1,0,0,0,1,0,0,1,0,1,0,0,0
30203103808,1,6,2,0,9,1,0,3,5,4,0,0,5
30203103812,0,1,2,1,4,2,0,2,0,4,0,0,0
30203103814,0,0,3,0,3,2,0,1,0,2,0,1,0
30203103815,2,10,4,0,16,1,0,7,8,8,0,0,8
30203103816,0,0,2,0,2,0,0,2,0,2,0,0,0
30203103902,1,0,0,0,1,0,0,1,0,1,0,0,0
30203103904,4,0,0,0,4,0,0,4,0,4,0,0,0
30203103905,1,1,0,0,2,0,0,2,0,2,0,0,0
30203103906,0,3,0,0,3,0,1,2,0,3,0,0,0
30203103908,0,0,0,4,4,0,0,4,0,2,0,2,0
30203103909,3,0,2,0,5,0,0,5,0,5,0,0,0
30203103911,0,1,2,0,3,1,1,1,0,2,1,0,0
30203103915,0,1,0,0,1,0,0,1,0,1,0,0,0
30203103916,1,4,1,0,6,1,1,1,3,3,0,0,3
30203103917,0,2,0,0,2,0,0,0,2,0,0,0,2
30203103918,0,0,1,0,1,1,0,0,0,1,0,0,0
30203103919,0,0,1,0,1,0,1,0,0,1,0,0,0
30203103920,1,2,3,0,6,1,1,4,0,6,0,0,0
30203103921,1,1,0,0,2,1,0,1,0,2,0,0,0
30203103922,3,1,0,0,4,0,1,3,0,4,0,0,0
30203103923,2,0,0,0,2,0,0,2,0,1,0,1,0
30203103924,0,1,1,0,2,0,0,2,0,2,0,0,0
30203103926,1,0,1,0,2,1,1,0,0,2,0,0,0
30203103927,1,0,0,0,1,0,1,0,0,1,0,0,0
30203103928,1,1,0,0,2,0,0,1,1,1,0,0,1
30203104002,0,0,1,0,1,1,0,0,0,0,0,1,0
30203104003,2,0,3,0,5,2,1,2,0,3,1,1,0
30203104004,0,1,2,0,3,0,0,3,0,3,0,0,0
