route_short_name,route_long_name,n,bp_Easy,bp_Hard,bp_Medium,bp_NA,cf_Easy,cf_Hard,cf_Medium,cf_NA,rg_Easy,rg_Hard,rg_Medium,rg_NA
326,"Bracken Ridge - Toombul via Sandgate, Geebung",116,40,4,24,48,68,19,21,8,74,17,17,8
327,Strathpine - Bracken Ridge & Toombul,114,41,0,36,37,56,27,21,10,75,15,14,10
329,Bracken Ridge - Carseldine via Lacey Road,10,1,0,1,8,4,0,0,6,4,0,0,6
330,Bracken Ridge - City Express,38,14,0,6,18,17,3,8,10,18,2,8,10
333,Chermside - City,10,6,0,0,4,5,0,1,4,5,0,1,4
334,Chermside - City via Kedron,59,27,2,9,21,35,12,8,4,35,9,11,4
335,Sandgate - City Express via Kirby Road,60,34,2,4,20,36,7,11,6,37,6,11,6
336,Chermside Clockwise Loop,38,9,2,12,15,24,11,1,2,25,3,8,2
337,Chermside Anti-Clockwise Loop,42,17,2,10,13,23,2,11,6,22,4,10,6
338,Strathpine - Chermside,33,16,0,8,9,20,5,3,5,16,2,10,5
340,Carseldine - Woolloongabba Express via City,29,15,0,0,14,23,0,2,4,24,0,1,4
345,Aspley - City Express via Maundrell Terrace,23,11,1,4,7,14,3,1,5,9,2,7,5
346,Aspley - City,80,31,4,21,24,43,17,13,7,49,8,16,7
350,Aspley - City Express via Bridgeman Downs,42,26,0,7,9,29,2,6,5,21,5,11,5
351,Aspley - City Rocket via Bridgeman Downs,30,18,0,4,8,22,0,3,5,15,4,6,5
352,McDowall - City Express,30,14,1,9,6,19,6,5,0,18,7,5,0
353,Chermside - City via McDowall,99,45,3,24,27,56,16,18,9,56,13,21,9
354,Mitchelton - Chermside,80,21,4,17,38,44,21,7,8,49,13,10,8
357,Brendale - City Express,20,8,1,2,9,13,0,1,6,9,3,2,6
359,Eatonvale - City Express via Albany Village,20,8,1,2,9,13,0,1,6,9,3,2,6
360,Brookside - City via Everton Park,79,30,7,14,28,45,10,13,11,45,9,14,11
361,Mitchelton - City,95,40,5,24,26,58,16,17,4,65,9,17,4
362,The Gap - Mitchelton,62,32,2,19,9,33,10,19,0,41,8,13,0
363,Herston - City,17,6,1,2,8,14,1,1,1,11,2,3,1
364,Herston - City,34,13,1,7,13,19,5,5,5,14,5,10,5
367,Great Western SC - Upper Kedron via Ferny Grove,23,6,0,9,8,12,1,5,5,10,4,4,5
369,Mitchelton - Toombul via Stafford,27,12,0,3,12,14,4,4,5,17,2,3,5
370,City - Chermside,39,25,2,3,9,23,5,5,6,22,2,9,6
372,Ashgrove - City,75,35,3,14,23,49,11,9,6,48,6,15,6
373,Ashgrove - City via Ashgrove Avenue,45,27,0,5,13,29,5,7,4,27,7,7,4
375,Bardon - Stafford via City/Valley,81,48,4,6,23,48,9,18,6,46,9,20,6
376,Stafford - City Express,24,9,1,2,12,16,3,1,4,15,0,5,4
377,Ashgrove - City via Kennedy Terrace,36,19,3,2,12,21,4,11,0,16,13,7,0
378,Ashgrove - City via Arthur Terrace,64,28,1,11,24,49,4,10,1,47,9,7,1
379,Grange/Ashgrove - City,94,52,5,9,28,66,6,15,7,59,10,18,7
380,The Gap - City via Hilder Road,84,49,0,17,18,57,4,16,7,50,15,12,7
381,The Gap - City via Payne Road,96,53,0,23,20,62,7,20,7,56,19,14,7
382,The Gap - City Rocket via Settlement Road,23,17,0,4,2,13,3,5,2,11,7,3,2
383,The Gap - City Rocket via Payne Road,19,11,0,4,4,11,1,5,2,14,1,2,2
